loop_name,N,seconds,TFLOPS,AI
update_loop,201,0.0000568330,0.0041807753,0.1250
convergence_loop,201,0.0001285840,0.0006159553,0.1250
update_loop,201,0.0000664160,0.0035775416,0.1250
convergence_loop,201,0.0001104170,0.0007172990,0.1250
update_loop,201,0.0000538330,0.0044137611,0.1250
convergence_loop,201,0.0001592080,0.0004974750,0.1250
update_loop,201,0.0000788750,0.0030124374,0.1250
convergence_loop,201,0.0001553330,0.0005098852,0.1250
update_loop,201,0.0000828750,0.0028670407,0.1250
convergence_loop,201,0.0001523750,0.0005197834,0.1250
update_loop,201,0.0000582920,0.0040761339,0.1250
convergence_loop,201,0.0001515840,0.0005224958,0.1250
update_loop,201,0.0000635000,0.0037418268,0.1250
convergence_loop,201,0.0001056670,0.0007495434,0.1250
update_loop,201,0.0000846670,0.0028063590,0.1250
convergence_loop,201,0.0001122920,0.0007053218,0.1250
update_loop,201,0.0000750000,0.0031680800,0.1250
convergence_loop,201,0.0001833330,0.0004320117,0.1250
update_loop,201,0.0000367500,0.0064654694,0.1250
convergence_loop,201,0.0000743750,0.0010649008,0.1250
update_loop,201,0.0000298330,0.0079645359,0.1250
convergence_loop,201,0.0001215000,0.0006518683,0.1250
update_loop,201,0.0000877500,0.0027077607,0.1250
convergence_loop,201,0.0001160410,0.0006825346,0.1250
update_loop,201,0.0000744170,0.0031928995,0.1250
convergence_loop,201,0.0001884170,0.0004203549,0.1250
update_loop,201,0.0000934580,0.0025423827,0.1250
convergence_loop,201,0.0001706670,0.0004640733,0.1250
update_loop,201,0.0000675840,0.0035157138,0.1250
convergence_loop,201,0.0001206660,0.0006563738,0.1250
update_loop,201,0.0000481250,0.0049372675,0.1250
convergence_loop,201,0.0001369170,0.0005784672,0.1250
update_loop,201,0.0000777500,0.0030560257,0.1250
convergence_loop,201,0.0001563750,0.0005064876,0.1250
update_loop,201,0.0001018330,0.0023332908,0.1250
convergence_loop,201,0.0001015000,0.0007803153,0.1250
update_loop,201,0.0000535830,0.0044343542,0.1250
convergence_loop,201,0.0001138330,0.0006957736,0.1250
update_loop,201,0.0000690000,0.0034435652,0.1250
convergence_loop,201,0.0001010000,0.0007841782,0.1250
update_loop,201,0.0000469590,0.0050598607,0.1250
convergence_loop,201,0.0000849590,0.0009322379,0.1250
update_loop,201,0.0000373330,0.0063645033,0.1250
convergence_loop,201,0.0001108330,0.0007146067,0.1250
update_loop,201,0.0000541250,0.0043899492,0.1250
convergence_loop,201,0.0000953750,0.0008304273,0.1250
update_loop,201,0.0000409580,0.0058012110,0.1250
convergence_loop,201,0.0000550420,0.0014389375,0.1250
update_loop,201,0.0000353330,0.0067247616,0.1250
convergence_loop,201,0.0000725830,0.0010911922,0.1250
update_loop,201,0.0000331250,0.0071730113,0.1250
convergence_loop,201,0.0000742090,0.0010672829,0.1250
update_loop,201,0.0000418330,0.0056798700,0.1250
convergence_loop,201,0.0000641670,0.0012343105,0.1250
update_loop,201,0.0000344160,0.0069039400,0.1250
convergence_loop,201,0.0000764580,0.0010358890,0.1250
update_loop,201,0.0000326250,0.0072829425,0.1250
convergence_loop,201,0.0000730000,0.0010849589,0.1250
update_loop,201,0.0000326250,0.0072829425,0.1250
convergence_loop,201,0.0000749170,0.0010571966,0.1250
update_loop,201,0.0000330000,0.0072001818,0.1250
convergence_loop,201,0.0000616670,0.0012843498,0.1250
update_loop,201,0.0000357090,0.0066539528,0.1250
convergence_loop,201,0.0000627090,0.0012630085,0.1250
update_loop,201,0.0000289170,0.0082168275,0.1250
convergence_loop,201,0.0000610000,0.0012983934,0.1250
update_loop,201,0.0000387090,0.0061382624,0.1250
